1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,4,1,1,19805,1,1390,438,13303,8,12,8,33,33
1,4,1,1,19805,1,2375,129,13303,8,12,8,33,33
1,4,1,1,19805,1,3478,277,13303,8,12,8,33,33
1,4,1,1,19805,1,2381,61,13303,8,12,8,33,33
1,4,1,1,19805,1,2369,205,13204,8,12,8,33,33
1,4,1,1,19805,1,1313,408,14027,8,12,8,33,33
1,4,1,1,19805,1,1005,431,13303,8,12,8,33,33
1,4,1,1,19805,1,2625,530,13303,8,12,8,33,33
1,4,1,1,19805,1,1159,287,13303,8,12,8,33,33
1,4,1,1,19805,1,3480,299,13303,8,12,8,33,33
1,4,1,1,19805,1,1155,231,13303,8,12,8,33,33
1,4,1,1,19805,1,2408,452,13303,8,12,8,33,33
1,4,1,1,19805,1,2367,527,13303,8,12,8,33,33
1,4,1,1,19805,1,2217,429,10397,9,13,9,34,34
1,4,1,1,19805,1,1808,417,10397,9,13,9,34,34
1,4,1,1,19805,1,2386,298,12173,10,15,10,2,2
1,4,1,1,19805,1,2422,266,12982,10,15,10,2,2
1,4,1,1,19805,1,2385,14,13830,10,15,10,2,2
1,4,1,1,19805,1,2384,254,13830,10,15,10,2,2
1,4,1,1,19805,1,2414,162,12173,10,15,10,2,2
1,4,1,1,19805,1,937,102,12173,10,15,10,2,2
1,4,1,1,19805,1,2402,286,12982,10,15,10,2,2
1,4,1,1,19805,1,1122,8,12173,10,15,10,2,2
1,4,1,1,19805,1,2385,270,12173,10,15,10,2,2
1,4,1,1,19805,1,972,6,13830,10,15,10,2,2
1,4,1,1,19805,1,2401,284,12173,10,15,10,2,2
1,4,1,1,19805,1,2413,246,12758,10,15,10,2,2
1,4,1,1,19805,1,2613,262,13930,13,17,12,41,41
1,4,1,1,19805,1,1271,537,13930,13,17,12,41,41
1,4,1,1,19805,1,1268,329,13930,13,17,12,41,41
1,4,1,1,19805,1,1587,305,13930,13,17,12,41,41
1,4,1,1,19805,1,2220,378,13930,13,17,12,41,41
1,4,1,1,19805,1,2213,398,13930,13,17,12,41,41
1,4,1,1,19805,1,2346,154,13930,13,17,12,41,41
1,4,1,1,19805,1,1229,336,13930,13,17,12,41,41
1,4,1,1,19805,1,2337,380,13930,13,17,12,41,41
1,4,1,1,19805,1,2355,374,13930,13,17,12,41,41
1,4,1,1,19805,1,1311,327,13930,13,17,12,41,41
1,4,1,1,19805,1,2100,382,13930,13,17,12,41,41
1,4,1,1,19805,1,1219,394,13930,13,17,12,41,41
1,4,1,1,19805,1,1807,407,13930,13,17,12,41,41
1,4,1,1,19805,1,1360,408,13930,13,17,12,41,41
1,4,1,1,19805,1,1267,309,13930,13,17,12,41,41
1,4,1,1,19805,1,442,344,13930,13,17,12,41,41
1,4,1,1,19805,1,2337,335,13930,13,17,12,41,41
1,4,1,1,19805,1,1302,532,13930,13,17,12,41,41
1,4,1,1,19805,1,1311,392,13930,13,17,12,41,41
1,4,1,1,19805,1,1268,386,13930,13,17,12,41,41
1,4,1,1,19805,1,1277,186,13930,13,17,12,41,41
1,4,1,1,19805,1,1258,526,13495,17,22,17,72,72
1,4,1,1,19805,1,1379,187,10721,18,25,20,13,13
1,4,1,1,19805,1,2369,223,10721,18,25,20,13,13
1,4,1,1,19805,1,1277,289,10721,18,25,20,13,13
1,4,1,1,19805,1,1207,25,10721,18,25,20,13,13
1,4,1,1,19805,1,2423,143,10721,18,25,20,13,13
1,4,1,1,19805,1,2146,415,10821,19,24,19,35,35
1,4,1,1,19805,1,1779,350,13198,23,29,24,64,64
1,4,1,1,19805,1,1743,521,14492,26,37,32,36,36
1,4,1,1,19805,1,2239,447,11057,26,37,32,36,36
1,4,1,1,19805,1,2316,539,11618,30,34,29,21,21
1,4,1,1,19805,1,2370,119,11618,30,34,29,21,21
1,4,1,1,19805,1,1295,169,12889,32,32,27,85,85
1,4,1,1,19805,1,1241,264,12889,32,32,27,85,85
1,4,1,1,19805,1,2208,400,12889,32,32,27,85,85
1,4,1,1,19805,1,1759,422,12889,32,32,27,85,85
